transaction_id,customer_id,transaction_date,transaction_time,transaction_type,category,amount,currency,merchant_name,merchant_category_code,channel,location,is_international,is_recurring,status
TXN1000071,SAN100245,2025-04-30,16:25:54,Debit,Education,127.53,GBP,Schofield-Wallis,5412,Direct Debit,London,False,True,Completed
TXN1000072,SAN100231,2025-08-08,13:21:14,Debit,Shopping,189.75,GBP,Ball-Parkinson,3118,In-Store,Manchester,False,False,Completed
TXN1000073,SAN100380,2025-05-14,05:45:21,Debit,Utilities,111.7,GBP,Sky,7248,Online,Nottingham,False,False,Completed
TXN1000074,SAN100204,2025-01-28,11:02:59,Debit,Utilities,9.0,GBP,EDF Energy,3669,Mobile App,Nottingham,False,False,Completed
TXN1000075,SAN100061,2025-03-19,17:00:27,Debit,Dining,100.71,GBP,Costa,6080,Direct Debit,Glasgow,False,True,Completed
TXN1000076,SAN100102,2025-10-26,12:21:54,Debit,Education,91.86,GBP,"Swift, Jenkins and Higgins",7358,Mobile App,Bristol,False,False,Completed
TXN1000077,SAN100415,2025-11-21,21:35:13,Debit,Shopping,124.7,GBP,Jones-Flynn,8112,Mobile App,Birmingham,True,False,Completed
TXN1000078,SAN100114,2025-06-18,03:20:27,Credit,Salary,3588.06,GBP,Bishop LLC,3540,Mobile App,Bradford,False,False,Completed
TXN1000079,SAN100223,2025-11-03,21:23:07,Debit,Utilities,181.91,GBP,BT,5921,In-Store,Glasgow,False,False,Completed
TXN1000080,SAN100218,2025-02-09,01:08:12,Debit,Dining,115.86,GBP,Starbucks,2253,Online,Bradford,False,False,Completed
TXN1000081,SAN100338,2024-12-11,10:33:34,Credit,Transfer In,3058.15,GBP,Weston and Sons,5151,ATM,Bristol,False,False,Completed
TXN1000082,SAN100379,2025-02-17,14:40:48,Credit,Salary,2582.96,GBP,Clark-Brennan,3985,Mobile App,Manchester,False,False,Completed
TXN1000083,SAN100300,2025-03-30,05:11:22,Credit,Transfer In,2547.49,GBP,Barlow Ltd,8371,Direct Debit,Bristol,False,False,Completed
TXN1000084,SAN100108,2025-11-08,17:35:55,Debit,Entertainment,20.25,GBP,Vue Cinema,5248,Online,Southampton,False,True,Completed
TXN1000085,SAN100087,2025-03-08,07:58:37,Credit,Salary,2647.04,GBP,Ryan-Green,7637,Direct Debit,Coventry,False,False,Completed
TXN1000086,SAN100353,2025-08-16,03:07:08,Credit,Salary,4834.14,GBP,"Harris, Morris and Hughes",7471,ATM,Birmingham,False,True,Completed
TXN1000087,SAN100008,2025-06-05,18:59:26,Credit,Transfer In,4867.34,GBP,Preston-Smith,1439,In-Store,Coventry,False,False,Completed
TXN1000088,SAN100320,2025-02-10,21:12:53,Debit,ATM Withdrawal,399.21,GBP,"White, Leach and Jackson",4127,Online,Edinburgh,False,True,Completed
TXN1000089,SAN100059,2025-09-06,10:27:18,Debit,Entertainment,180.97,GBP,Odeon,8295,Mobile App,Coventry,True,False,Completed
TXN1000090,SAN100150,2025-03-24,09:24:43,Debit,Subscriptions,166.74,GBP,Watson Group,7418,Online,Cardiff,True,False,Completed
TXN1000091,SAN100212,2025-05-07,21:15:18,Debit,ATM Withdrawal,257.94,GBP,Douglas-Morris,5764,Online,Coventry,False,False,Completed
TXN1000092,SAN100478,2025-09-24,11:37:34,Credit,Salary,4572.83,GBP,"Dean, Cooper and Ryan",8993,In-Store,Manchester,False,False,Completed
TXN1000093,SAN100032,2025-04-08,11:30:21,Debit,Dining,179.11,GBP,Costa,8755,Online,Coventry,False,False,Completed
TXN1000094,SAN100223,2025-10-24,10:02:47,Debit,Groceries,36.46,GBP,Aldi,4149,Mobile App,Belfast,False,False,Completed
TXN1000095,SAN100350,2025-09-25,17:50:49,Debit,Shopping,184.74,GBP,Thompson-Hancock,8675,In-Store,Edinburgh,False,False,Completed
TXN1000096,SAN100481,2025-06-05,07:36:13,Credit,Salary,3436.25,GBP,"Bolton, Butler and Shaw",6902,Mobile App,Liverpool,False,False,Completed
TXN1000097,SAN100341,2025-11-12,13:51:05,Debit,Education,30.17,GBP,"Parsons, Holland and Gardner",4268,In-Store,Coventry,False,False,Failed
TXN1000098,SAN100155,2025-03-28,10:37:26,Debit,Transport,45.84,GBP,TfL,1297,ATM,Bristol,False,True,Completed
TXN1000099,SAN100457,2025-09-15,08:38:19,Debit,Travel,11.23,GBP,Smith-Stevens,2043,ATM,Southampton,False,False,Completed
TXN1000100,SAN100249,2025-04-15,07:43:41,Debit,Dining,198.76,GBP,Wagamama,1764,Direct Debit,Bristol,False,False,Completed
TXN1000101,SAN100309,2025-01-22,14:18:50,Credit,Salary,968.64,GBP,Blake-Newton,1826,Mobile App,Leicester,False,False,Pending
TXN1000102,SAN100400,2024-12-04,15:07:50,Debit,Subscriptions,123.88,GBP,Dobson-Swift,2669,Direct Debit,Manchester,False,True,Completed
TXN1000103,SAN100105,2025-03-28,00:48:44,Debit,Direct Debit,75.52,GBP,Moore Group,5786,Mobile App,Bradford,False,False,Completed
TXN1000104,SAN100186,2025-03-14,04:21:37,Debit,Shopping,164.74,GBP,Hill Inc,3014,In-Store,Leicester,False,False,Completed
TXN1000105,SAN100427,2025-06-23,10:09:50,Debit,Transfer Out,247.36,GBP,"Jenkins, Young and Taylor",5698,Direct Debit,Liverpool,False,False,Completed
TXN1000106,SAN100184,2024-12-27,23:09:32,Credit,Salary,3492.48,GBP,"Oliver, Davey and Stephens",3483,Direct Debit,Southampton,False,True,Completed
TXN1000107,SAN100470,2025-03-27,12:11:53,Debit,Healthcare,180.12,GBP,Parker Group,9456,ATM,London,False,False,Completed
TXN1000108,SAN100264,2025-05-31,16:17:18,Debit,Utilities,21.53,GBP,Thames Water,7580,In-Store,Southampton,False,False,Completed
TXN1000109,SAN100328,2025-11-27,03:15:10,Debit,Entertainment,180.99,GBP,Netflix,9516,ATM,Southampton,False,False,Completed
TXN1000110,SAN100155,2025-05-03,10:04:11,Credit,Transfer In,3842.14,GBP,Price PLC,6638,Online,Bristol,False,False,Completed
TXN1000111,SAN100206,2025-03-29,23:21:50,Debit,Education,130.56,GBP,Smith-Brown,9919,Direct Debit,Leicester,False,False,Completed
TXN1000112,SAN100207,2024-12-07,03:53:25,Debit,Transfer Out,114.7,GBP,"Scott, Walker and Kirby",5940,Online,Manchester,False,False,Completed
TXN1000113,SAN100450,2025-10-03,21:13:36,Debit,Entertainment,106.49,GBP,Vue Cinema,5651,In-Store,Birmingham,False,False,Completed
TXN1000114,SAN100325,2025-04-26,16:38:11,Debit,Entertainment,9.57,GBP,Vue Cinema,5238,In-Store,Edinburgh,False,False,Completed
TXN1000115,SAN100030,2025-10-23,15:57:13,Debit,ATM Withdrawal,199.03,GBP,"Thomas, Berry and Rees",9314,ATM,Leeds,True,False,Completed
TXN1000116,SAN100152,2025-01-04,08:58:05,Debit,Subscriptions,148.69,GBP,Wood-Robertson,8424,ATM,Sheffield,False,False,Completed
TXN1000117,SAN100457,2025-09-01,18:41:42,Credit,Salary,3494.84,GBP,Francis-Russell,4831,ATM,Edinburgh,False,False,Completed
TXN1000118,SAN100344,2025-05-29,21:57:08,Debit,Entertainment,144.3,GBP,Vue Cinema,5057,Online,Cardiff,False,True,Completed
TXN1000119,SAN100232,2024-12-17,20:01:47,Debit,Utilities,33.58,GBP,BT,7751,Online,Birmingham,False,False,Completed
TXN1000120,SAN100228,2025-03-19,14:16:53,Debit,Utilities,77.01,GBP,Sky,7598,Direct Debit,Stoke-on-Trent,False,False,Completed
TXN1000121,SAN100255,2025-11-24,20:07:16,Credit,Salary,2405.4,GBP,Baker-Morgan,8210,Mobile App,Southampton,False,True,Completed
TXN1000122,SAN100364,2025-01-13,23:19:16,Debit,Education,30.23,GBP,Cross-Webb,9408,Direct Debit,Leeds,False,False,Completed
TXN1000123,SAN100080,2025-02-20,10:12:28,Debit,Travel,77.02,GBP,Khan LLC,2945,Direct Debit,Southampton,False,False,Completed
TXN1000124,SAN100267,2025-10-11,02:13:11,Debit,Entertainment,27.96,GBP,Amazon Prime,7135,ATM,Edinburgh,False,False,Completed
TXN1000125,SAN100301,2025-08-22,00:46:54,Debit,Healthcare,14.49,GBP,Thompson and Sons,5999,ATM,Newcastle,False,False,Completed
TXN1000126,SAN100280,2025-08-21,23:30:27,Debit,Shopping,18.18,GBP,Sharp-Powell,1732,Mobile App,Coventry,False,False,Completed
TXN1000127,SAN100400,2024-12-02,10:55:05,Debit,Healthcare,97.67,GBP,"Taylor, Smith and McKenzie",3175,In-Store,Bradford,False,False,Completed
TXN1000128,SAN100076,2025-01-10,02:22:23,Debit,ATM Withdrawal,369.37,GBP,Tucker-Mills,2463,Direct Debit,Southampton,False,False,Completed
TXN1000129,SAN100023,2025-07-12,07:54:39,Credit,Salary,4505.19,GBP,Dixon-Thompson,5544,Online,Liverpool,False,False,Completed
TXN1000130,SAN100362,2025-01-19,22:33:58,Debit,Dining,114.4,GBP,Nando's,2395,In-Store,Stoke-on-Trent,False,True,Completed
TXN1000131,SAN100096,2025-05-17,19:44:48,Debit,Transfer Out,248.4,GBP,Newton and Sons,1305,Online,Stoke-on-Trent,False,True,Completed
TXN1000132,SAN100125,2025-09-01,12:56:06,Debit,ATM Withdrawal,358.7,GBP,Todd-King,8278,Online,Stoke-on-Trent,False,False,Completed
TXN1000133,SAN100441,2025-06-09,02:46:41,Debit,Direct Debit,9.54,GBP,Whitehead Ltd,8160,In-Store,Southampton,True,False,Completed
TXN1000134,SAN100046,2025-05-28,13:24:26,Debit,Utilities,196.06,GBP,Sky,3755,ATM,Glasgow,False,False,Completed
TXN1000135,SAN100487,2025-03-13,01:26:27,Debit,Healthcare,137.33,GBP,"Jones, Green and Miller",1965,Direct Debit,Cardiff,False,False,Completed
TXN1000136,SAN100050,2025-08-17,08:00:39,Debit,Shopping,32.78,GBP,Doherty-Wong,6311,ATM,Nottingham,False,False,Completed
TXN1000137,SAN100122,2025-07-29,09:18:42,Debit,Transfer Out,306.56,GBP,"Davis, Booth and Tucker",4874,Mobile App,Bradford,False,False,Completed
TXN1000138,SAN100031,2025-05-30,04:50:54,Debit,Shopping,95.64,GBP,Brown and Sons,7669,Online,Coventry,True,False,Completed
TXN1000139,SAN100009,2025-05-20,13:04:26,Debit,Dining,113.04,GBP,Starbucks,2663,In-Store,Stoke-on-Trent,False,True,Completed
TXN1000140,SAN100228,2025-04-20,05:07:27,Debit,Utilities,170.02,GBP,Sky,4333,In-Store,Belfast,False,True,Completed
TXN1000141,SAN100487,2025-05-27,15:52:14,Debit,Healthcare,192.46,GBP,Martin-Wright,8401,Online,London,False,False,Completed
TXN1000142,SAN100334,2025-06-11,06:18:02,Debit,Entertainment,5.11,GBP,Disney+,5477,Direct Debit,Bristol,False,False,Completed
TXN1000143,SAN100323,2025-10-10,00:33:02,Debit,Transport,119.11,GBP,BP,5609,Online,Liverpool,False,False,Completed
TXN1000144,SAN100202,2025-09-04,06:13:54,Credit,Transfer In,1053.4,GBP,Walters-Lynch,3288,Direct Debit,Bristol,False,False,Completed
TXN1000145,SAN100410,2025-10-06,03:13:48,Debit,Shopping,177.37,GBP,Johnston and Sons,6613,ATM,Leicester,False,False,Completed
TXN1000146,SAN100107,2025-10-31,06:46:30,Debit,Education,192.0,GBP,Simpson-Taylor,6381,Online,Glasgow,False,True,Completed
TXN1000147,SAN100461,2025-06-06,02:03:54,Debit,Groceries,136.18,GBP,Morrisons,9011,Mobile App,Stoke-on-Trent,False,False,Completed
TXN1000148,SAN100275,2025-09-11,09:21:37,Debit,Groceries,179.05,GBP,Lidl,8293,Online,Belfast,False,False,Completed
TXN1000149,SAN100198,2025-02-07,06:16:48,Debit,Entertainment,168.63,GBP,Odeon,1138,Online,Leicester,False,True,Completed
TXN1000150,SAN100380,2025-03-12,01:45:31,Debit,Groceries,152.89,GBP,Aldi,6862,In-Store,Birmingham,False,False,Completed
TXN1000151,SAN100113,2025-01-29,14:08:40,Debit,Transport,196.12,GBP,Uber,1602,ATM,Coventry,False,False,Completed
TXN1000152,SAN100100,2025-03-22,18:31:40,Debit,ATM Withdrawal,326.45,GBP,"Brooks, Kennedy and Hawkins",2817,ATM,Bradford,False,False,Completed
TXN1000153,SAN100289,2025-08-29,14:46:12,Credit,Salary,3570.73,GBP,Brown Group,3875,Online,Glasgow,False,True,Completed
TXN1000154,SAN100438,2025-02-06,22:11:15,Debit,Transport,176.8,GBP,Esso,5494,In-Store,London,False,False,Completed
TXN1000155,SAN100129,2024-12-11,02:04:12,Credit,Salary,3020.52,GBP,"Hill, Parsons and Iqbal",8437,Online,Southampton,False,False,Completed
TXN1000156,SAN100480,2025-06-19,12:49:15,Debit,Shopping,89.35,GBP,Williams-Hayes,7666,ATM,Leeds,False,False,Completed
TXN1000157,SAN100388,2025-06-01,23:17:49,Debit,Groceries,177.34,GBP,Sainsbury's,1769,ATM,Southampton,False,False,Completed
TXN1000158,SAN100171,2025-06-04,01:33:13,Debit,Utilities,176.62,GBP,British Gas,4696,Mobile App,Birmingham,False,True,Completed
TXN1000159,SAN100032,2024-12-20,01:20:03,Credit,Salary,3313.83,GBP,Charlton-Parker,1456,Mobile App,Southampton,False,False,Completed
TXN1000160,SAN100171,2025-04-19,06:53:30,Debit,ATM Withdrawal,140.2,GBP,O'Connor-Barrett,2766,Mobile App,Sheffield,False,False,Completed
TXN1000161,SAN100266,2025-02-03,03:12:28,Debit,Transfer Out,133.64,GBP,Hill-Hughes,2194,Direct Debit,Leicester,False,False,Completed
TXN1000162,SAN100043,2025-05-07,22:04:33,Debit,Groceries,183.76,GBP,Morrisons,6132,Online,Glasgow,False,False,Completed
TXN1000163,SAN100312,2025-08-06,07:14:50,Credit,Salary,2443.28,GBP,"Smith, Griffiths and Clark",2668,Online,Stoke-on-Trent,False,False,Completed
TXN1000164,SAN100316,2025-10-23,09:11:54,Debit,Transfer Out,217.33,GBP,"Phillips, Collins and Spencer",1173,Mobile App,Nottingham,False,False,Completed
TXN1000165,SAN100051,2025-02-21,07:40:41,Debit,Shopping,131.93,GBP,"Harrison, Gibbons and Leach",1425,Mobile App,Bradford,False,True,Completed
TXN1000166,SAN100304,2025-02-18,22:03:35,Credit,Transfer In,803.95,GBP,"Phillips, Martin and Thornton",4172,Direct Debit,Glasgow,False,False,Completed
TXN1000167,SAN100371,2025-04-06,13:13:37,Debit,Subscriptions,91.7,GBP,Cole-Hussain,4983,In-Store,Manchester,False,False,Completed
TXN1000168,SAN100491,2024-12-01,18:50:47,Credit,Salary,3894.68,GBP,Heath Ltd,6098,Direct Debit,Stoke-on-Trent,False,True,Completed
TXN1000169,SAN100175,2025-07-15,17:58:52,Debit,Dining,76.92,GBP,Nando's,9481,Direct Debit,Glasgow,False,False,Completed
TXN1000170,SAN100439,2025-08-27,10:46:18,Debit,Groceries,87.3,GBP,Sainsbury's,4282,In-Store,Birmingham,False,False,Completed
TXN1000171,SAN100239,2025-10-07,20:54:20,Debit,Subscriptions,140.02,GBP,"Smith, Saunders and Rees",6499,Direct Debit,Edinburgh,False,True,Completed
TXN1000172,SAN100404,2025-02-07,00:56:38,Debit,Direct Debit,13.23,GBP,Sanders-Brown,4594,Online,Sheffield,False,False,Completed
TXN1000173,SAN100246,2025-05-22,21:35:05,Credit,Transfer In,3957.57,GBP,Brown-Simpson,6431,Mobile App,Newcastle,False,False,Completed
TXN1000174,SAN100005,2025-10-18,08:17:21,Debit,Utilities,74.79,GBP,Sky,2887,In-Store,Edinburgh,False,False,Completed
TXN1000175,SAN100184,2025-01-31,23:20:35,Debit,Groceries,195.19,GBP,Sainsbury's,4241,ATM,Liverpool,False,False,Completed
TXN1000176,SAN100433,2025-09-04,04:14:28,Debit,Travel,52.96,GBP,Wright Group,4211,Online,Liverpool,False,False,Completed
TXN1000177,SAN100346,2025-07-01,12:39:31,Debit,Entertainment,78.89,GBP,Netflix,6544,In-Store,Edinburgh,False,False,Completed
TXN1000178,SAN100087,2025-05-27,21:40:05,Debit,Travel,195.53,GBP,Jones Inc,8106,Online,Leeds,False,False,Completed
TXN1000179,SAN100098,2025-09-25,14:12:32,Debit,Travel,78.75,GBP,"Davies, Harris and Wilson",7131,ATM,Southampton,False,False,Completed
TXN1000180,SAN100315,2025-06-02,07:40:23,Debit,Subscriptions,41.87,GBP,Russell Inc,9773,ATM,Glasgow,False,True,Completed
TXN1000181,SAN100446,2025-03-21,20:14:07,Debit,Entertainment,171.04,GBP,Vue Cinema,9011,In-Store,Birmingham,False,False,Completed
TXN1000182,SAN100085,2025-08-26,09:19:38,Debit,Travel,80.68,GBP,Hughes-Dodd,9342,ATM,Coventry,False,True,Completed
TXN1000183,SAN100269,2025-06-17,20:36:54,Credit,Transfer In,2674.84,GBP,"Jones, Hargreaves and Brown",9106,Mobile App,Bristol,False,False,Completed
TXN1000184,SAN100332,2025-04-08,08:58:22,Debit,Groceries,45.4,GBP,Sainsbury's,8406,In-Store,Nottingham,False,False,Completed
TXN1000185,SAN100080,2025-08-16,21:17:08,Debit,Direct Debit,169.27,GBP,"Russell, Baxter and Poole",5170,Direct Debit,Birmingham,False,True,Completed
TXN1000186,SAN100180,2025-07-06,02:54:45,Debit,Transport,118.87,GBP,Shell,9392,Direct Debit,Cardiff,False,False,Completed
