complaint_id,customer_id,customer_age,customer_gender,customer_segment,customer_city,complaint_date,complaint_time,category,severity,description,channel,status,resolution_date,resolution_days,compensation_amount,satisfaction_score,escalated,product_involved,branch_code
CMP100014,SAN100033,43,Other,Premium,Newcastle,2025-01-19,16:17:05,Fee Complaints,Medium,Monthly fee increased without notice,Email,Closed,2025-01-20,1.0,0.0,1.0,False,eSaver,
CMP100015,SAN100457,43,Other,Premium,Leicester,2024-10-11,21:10:40,Customer Service,High,Promised callback never received,Email,Closed,2024-11-11,31.0,1712.95,3.0,True,Credit Card,BR732
CMP100016,SAN100457,43,Other,Premium,Leicester,2025-01-15,17:29:26,Fraud/Security,Medium,Security breach concern,Online Chat,Resolved,2025-01-26,11.0,98.02,4.0,False,Business Current Account,BR689
CMP100017,SAN100457,43,Other,Premium,Leicester,2024-09-02,10:21:57,Interest Rate Disputes,Medium,Promotional rate not applied,Email,Resolved,2024-09-25,23.0,0.0,4.0,False,Business Current Account,
CMP100018,SAN100457,43,Other,Premium,Leicester,2025-10-15,19:12:12,Branch Service,Medium,Branch closed without notice,Mobile App,Closed,2025-10-23,8.0,0.0,1.0,False,Cash ISA,
CMP100019,SAN100457,43,Other,Premium,Leicester,2024-06-14,16:10:07,Card Problems,Low,New card not received after 2 weeks,Online Chat,Resolved,2024-06-28,14.0,75.07,3.0,False,Help to Buy ISA,BR535
CMP100020,SAN100457,43,Other,Premium,Leicester,2025-08-07,02:01:50,Payment Delays,Low,International transfer delayed,Online Chat,Closed,2025-08-17,10.0,0.0,4.0,False,eSaver,BR162
CMP100021,SAN100457,43,Other,Premium,Leicester,2024-07-16,05:18:40,Card Problems,Medium,Contactless payment not working,Phone,Closed,2024-08-03,18.0,108.9,4.0,False,Mortgage,
CMP100022,SAN100194,59,Female,Standard,Leicester,2025-11-22,12:03:40,Online Banking,Medium,Transfer limit too restrictive,Email,Closed,2025-11-23,1.0,26.18,1.0,False,Help to Buy ISA,
CMP100023,SAN100194,59,Female,Standard,Leicester,2025-06-05,09:27:36,Fraud/Security,High,Fraud alert triggered incorrectly,Branch,Resolved,2025-06-06,1.0,0.0,2.0,True,Help to Buy ISA,
CMP100024,SAN100194,59,Female,Standard,Leicester,2025-01-22,01:59:58,Card Problems,Low,Card blocked while travelling,Social Media,Resolved,2025-01-25,3.0,0.0,4.0,False,1|2|3 Current Account,
CMP100025,SAN100194,59,Female,Standard,Leicester,2024-07-07,16:43:50,Customer Service,Low,Incorrect information provided,Social Media,Closed,2024-07-09,2.0,91.89,4.0,False,Mortgage,BR600
CMP100026,SAN100194,59,Female,Standard,Leicester,2025-09-11,05:26:47,Payment Delays,Low,Salary not credited on time,Mobile App,Closed,2025-10-09,28.0,0.0,3.0,False,Everyday Current Account,BR389
CMP100027,SAN100194,59,Female,Standard,Leicester,2025-09-17,21:20:42,Customer Service,Low,Incorrect information provided,Phone,Resolved,2025-09-20,3.0,0.0,3.0,False,Business Current Account,
CMP100028,SAN100194,59,Female,Standard,Leicester,2025-04-10,09:05:01,Account Access Issues,Medium,Password reset not working,Email,Resolved,2025-06-01,157.0,956.62,1.0,False,Mortgage,
CMP100029,SAN100117,77,Other,Standard,Manchester,2025-08-02,02:58:16,Account Access Issues,Low,Account locked without explanation,Phone,Resolved,2025-08-07,5.0,50.02,1.0,False,Business Current Account,
CMP100030,SAN100117,77,Other,Standard,Manchester,2025-10-03,17:17:46,Payment Delays,High,Direct debit not processed,Email,Closed,2025-10-05,2.0,0.0,5.0,True,Business Current Account,
CMP100031,SAN100117,77,Other,Standard,Manchester,2025-11-20,12:03:39,Card Problems,Low,Card blocked while travelling,Online Chat,In Progress,,,0.0,,False,eSaver,BR128
CMP100032,SAN100117,77,Other,Standard,Manchester,2025-07-27,06:16:32,Fraud/Security,Low,Security breach concern,Branch,Closed,2025-08-11,15.0,0.0,4.0,False,Personal Loan,
CMP100033,SAN100117,77,Other,Standard,Manchester,2025-09-07,19:22:25,Customer Service,High,Unhelpful staff at branch,Social Media,Resolved,2025-09-16,9.0,54.06,5.0,True,Everyday Saver,BR987
CMP100034,SAN100476,26,Male,Premium,Belfast,2025-09-21,12:03:04,Account Access Issues,Low,Account locked without explanation,Online Chat,Closed,2025-10-02,11.0,0.0,2.0,False,1|2|3 Current Account,BR401
CMP100035,SAN100476,26,Male,Premium,Belfast,2025-10-13,03:44:16,Transaction Disputes,Medium,Unauthorized transaction on my account,Mobile App,Resolved,2025-10-30,17.0,0.0,3.0,False,Credit Card,BR369
CMP100036,SAN100476,26,Male,Premium,Belfast,2024-09-29,18:02:55,Payment Delays,Medium,Standing order failed,Branch,Resolved,2024-10-02,3.0,0.0,1.0,False,Stocks & Shares ISA,BR857
CMP100037,SAN100476,26,Male,Premium,Belfast,2025-11-27,03:16:31,Customer Service,Low,Unhelpful staff at branch,Social Media,Escalated,,,0.0,,False,Credit Card,
CMP100038,SAN100476,26,Male,Premium,Belfast,2025-09-16,18:22:02,Interest Rate Disputes,High,Savings rate lower than advertised,Social Media,Closed,2025-11-06,51.0,0.0,5.0,False,Cash ISA,BR544
CMP100039,SAN100476,26,Male,Premium,Belfast,2024-07-19,11:14:01,Customer Service,Low,Incorrect information provided,Mobile App,Resolved,2024-08-02,14.0,0.0,5.0,False,Everyday Current Account,BR777
CMP100040,SAN100412,38,Male,Standard Plus,Edinburgh,2025-11-19,10:54:03,Customer Service,High,Unhelpful staff at branch,Mobile App,Resolved,2025-11-22,3.0,0.0,5.0,True,1|2|3 Current Account,BR243
CMP100041,SAN100412,38,Male,Standard Plus,Edinburgh,2025-06-08,22:53:59,Card Problems,Low,Contactless payment not working,Mobile App,Closed,2025-06-23,15.0,0.0,3.0,False,Everyday Saver,BR171
CMP100042,SAN100412,38,Male,Standard Plus,Edinburgh,2025-11-01,14:29:00,Fraud/Security,Medium,Phishing email received,Email,Resolved,2025-11-02,1.0,0.0,5.0,False,Mortgage,BR266
CMP100043,SAN100100,50,Other,Standard Plus,Newcastle,2025-06-05,08:59:16,Customer Service,Medium,Promised callback never received,Online Chat,Resolved,2025-06-06,1.0,0.0,2.0,False,1|2|3 Current Account,
CMP100044,SAN100100,50,Other,Standard Plus,Newcastle,2025-07-12,05:54:54,Online Banking,Low,Transfer limit too restrictive,Phone,Closed,2025-07-16,4.0,0.0,5.0,False,1|2|3 Current Account,BR124
CMP100045,SAN100100,50,Other,Standard Plus,Newcastle,2024-06-05,17:06:06,Card Problems,High,New card not received after 2 weeks,Online Chat,Resolved,2024-06-13,8.0,0.0,4.0,True,Mortgage,
CMP100046,SAN100100,50,Other,Standard Plus,Newcastle,2025-05-02,17:10:49,Interest Rate Disputes,Medium,Variable rate increased unexpectedly,Email,Resolved,2025-05-30,28.0,0.0,5.0,False,Select Current Account,
CMP100047,SAN100100,50,Other,Standard Plus,Newcastle,2025-02-28,09:00:05,Mobile App Issues,Medium,App crashes when checking balance,Email,Closed,2025-03-18,130.0,190.13,3.0,False,Mortgage,
CMP100048,SAN100388,34,Other,Standard,Birmingham,2024-09-20,04:16:15,Branch Service,Low,Appointment not honored,Social Media,Resolved,2024-10-09,19.0,0.0,3.0,False,Business Current Account,
CMP100049,SAN100388,34,Other,Standard,Birmingham,2025-02-01,08:43:59,Transaction Disputes,Critical,Refund not received after 30 days,Social Media,Resolved,2025-02-08,7.0,0.0,3.0,False,Everyday Saver,BR417
CMP100050,SAN100388,34,Other,Standard,Birmingham,2025-03-04,00:18:23,Account Access Issues,Medium,Unable to log into online banking for 3 days,Branch,Closed,2025-03-09,5.0,0.0,1.0,False,Business Current Account,BR662
CMP100051,SAN100388,34,Other,Standard,Birmingham,2025-11-19,01:05:42,Customer Service,Medium,Unhelpful staff at branch,Phone,Closed,2025-11-25,6.0,0.0,4.0,False,Stocks & Shares ISA,
CMP100052,SAN100388,34,Other,Standard,Birmingham,2024-07-22,23:10:30,Mobile App Issues,Medium,Cannot make payments through app,Online Chat,Resolved,2024-09-20,60.0,0.0,1.0,False,1|2|3 Current Account,BR313
CMP100053,SAN100388,34,Other,Standard,Birmingham,2025-04-17,04:42:26,Mobile App Issues,Low,App crashes when checking balance,Email,Resolved,2025-04-18,1.0,0.0,4.0,False,Select Current Account,BR169
CMP100054,SAN100388,34,Other,Standard,Birmingham,2024-08-08,11:05:37,Online Banking,Medium,Transfer limit too restrictive,Mobile App,Resolved,2024-09-05,28.0,182.73,3.0,False,Help to Buy ISA,BR217
CMP100055,SAN100178,44,Male,Standard Plus,Coventry,2024-11-17,00:17:33,Account Access Issues,Medium,Two-factor authentication issues,Online Chat,Closed,2024-11-29,12.0,1812.05,4.0,False,Credit Card,BR312
CMP100056,SAN100178,44,Male,Standard Plus,Coventry,2025-06-01,11:58:59,Transaction Disputes,Medium,Incorrect amount debited,Mobile App,Resolved,2025-06-09,8.0,40.09,5.0,False,Mortgage,BR220
CMP100057,SAN100178,44,Male,Standard Plus,Coventry,2025-04-29,04:10:15,Loan/Mortgage Issues,Low,Payment not reflected on account,Email,Resolved,2025-05-17,0.0,0.0,3.0,False,Help to Buy ISA,BR834
CMP100058,SAN100178,44,Male,Standard Plus,Coventry,2025-02-15,21:03:47,Payment Delays,Medium,International transfer delayed,Mobile App,Closed,2025-02-24,9.0,0.0,3.0,False,Cash ISA,
CMP100059,SAN100133,69,Other,Premium,Stoke-on-Trent,2025-01-10,15:22:35,Interest Rate Disputes,Low,Savings rate lower than advertised,Online Chat,Resolved,2025-02-07,28.0,0.0,5.0,False,Everyday Saver,BR176
CMP100060,SAN100133,69,Other,Premium,Stoke-on-Trent,2025-09-16,22:58:10,Customer Service,High,Incorrect information provided,Email,Closed,2025-10-18,32.0,0.0,4.0,True,Business Current Account,BR279
CMP100061,SAN100133,69,Other,Premium,Stoke-on-Trent,2025-05-21,18:03:15,Branch Service,Low,Documents lost by branch,Branch,Closed,2025-05-28,7.0,1070.81,4.0,False,Cash ISA,
CMP100062,SAN100133,69,Other,Premium,Stoke-on-Trent,2025-07-20,21:22:09,Fraud/Security,Medium,Suspicious activity not flagged,Branch,Closed,2025-07-24,4.0,71.42,1.0,False,Personal Loan,
CMP100063,SAN100133,69,Other,Premium,Stoke-on-Trent,2024-07-27,23:49:51,Fraud/Security,Medium,Phishing email received,Branch,Closed,2024-08-08,12.0,19.93,3.0,False,Everyday Current Account,
CMP100064,SAN100133,69,Other,Premium,Stoke-on-Trent,2025-08-19,21:51:59,Fee Complaints,High,Foreign transaction fee too high,Mobile App,Resolved,2025-09-22,34.0,0.0,5.0,False,Everyday Saver,BR534
CMP100065,SAN100133,69,Other,Premium,Stoke-on-Trent,2025-01-21,00:23:33,Online Banking,Medium,Transfer limit too restrictive,Phone,Closed,2025-01-24,3.0,0.0,5.0,False,1|2|3 Current Account,BR406
CMP100066,SAN100228,43,Other,Premium,Sheffield,2025-06-13,23:46:50,Account Access Issues,Medium,Two-factor authentication issues,Email,Closed,2025-06-26,13.0,0.0,5.0,False,Business Current Account,BR948
CMP100067,SAN100228,43,Other,Premium,Sheffield,2024-07-24,22:52:01,Account Access Issues,Medium,Unable to log into online banking for 3 days,Mobile App,Resolved,2024-08-06,0.0,0.0,2.0,False,Stocks & Shares ISA,
CMP100068,SAN100228,43,Other,Premium,Sheffield,2025-02-27,07:18:32,Online Banking,Low,Transfer limit too restrictive,Email,Resolved,2025-03-17,18.0,0.0,1.0,False,Select Current Account,BR932
CMP100069,SAN100228,43,Other,Premium,Sheffield,2025-01-05,03:07:44,Fee Complaints,Medium,Foreign transaction fee too high,Branch,Resolved,2025-01-06,1.0,0.0,4.0,False,Select Current Account,BR487
CMP100070,SAN100228,43,Other,Premium,Sheffield,2025-10-05,19:23:52,Interest Rate Disputes,Low,Promotional rate not applied,Online Chat,Resolved,2025-10-22,17.0,0.0,4.0,False,Everyday Saver,BR582
CMP100071,SAN100228,43,Other,Premium,Sheffield,2025-05-27,12:52:12,Transaction Disputes,Low,Refund not received after 30 days,Branch,Resolved,2025-06-29,33.0,0.0,3.0,False,Personal Loan,BR847
CMP100072,SAN100228,43,Other,Premium,Sheffield,2025-03-25,06:54:45,Payment Delays,Critical,Standing order failed,Branch,Closed,2025-03-27,2.0,0.0,5.0,True,Everyday Saver,BR742
CMP100073,SAN100228,43,Other,Premium,Sheffield,2025-11-07,19:09:06,Card Problems,Low,Contactless payment not working,Social Media,Resolved,2025-11-10,3.0,0.0,5.0,False,Business Current Account,
CMP100074,SAN100321,41,Other,Standard Plus,Glasgow,2025-01-11,04:11:29,Card Problems,Low,Card declined despite sufficient funds,Online Chat,Closed,2025-03-01,49.0,0.0,1.0,False,Everyday Current Account,BR608
CMP100075,SAN100321,41,Other,Standard Plus,Glasgow,2024-10-08,10:59:29,Transaction Disputes,Low,Refund not received after 30 days,Online Chat,Closed,2024-10-10,2.0,895.8,4.0,False,eSaver,
CMP100076,SAN100321,41,Other,Standard Plus,Glasgow,2025-03-26,09:54:24,Online Banking,Medium,Website down during payment,Branch,Resolved,2025-04-21,26.0,0.0,1.0,False,Everyday Saver,BR869
CMP100077,SAN100321,41,Other,Standard Plus,Glasgow,2025-10-10,05:58:34,Loan/Mortgage Issues,Medium,Incorrect interest rate applied,Online Chat,Closed,2025-10-19,9.0,0.0,4.0,False,Credit Card,BR163
CMP100078,SAN100043,58,Other,Premium,Newcastle,2025-06-01,05:26:31,Card Problems,High,New card not received after 2 weeks,Branch,Closed,2025-06-04,3.0,0.0,3.0,False,Business Current Account,
CMP100079,SAN100043,58,Other,Premium,Newcastle,2024-06-14,14:05:44,Mobile App Issues,Low,Fingerprint login not working,Phone,Resolved,2024-07-12,28.0,0.0,5.0,False,Select Current Account,BR516
CMP100080,SAN100043,58,Other,Premium,Newcastle,2025-07-05,03:26:33,Account Access Issues,High,Two-factor authentication issues,Email,Closed,2025-07-13,8.0,0.0,3.0,False,Business Current Account,
CMP100081,SAN100359,39,Other,Premium,Sheffield,2025-01-04,05:53:22,Account Access Issues,Medium,Two-factor authentication issues,Branch,Closed,2025-01-14,10.0,32.95,4.0,False,Stocks & Shares ISA,BR956
CMP100082,SAN100359,39,Other,Premium,Sheffield,2025-07-31,00:04:29,Loan/Mortgage Issues,Medium,Incorrect interest rate applied,Social Media,Closed,2025-08-06,6.0,120.06,4.0,False,Everyday Current Account,BR533
CMP100083,SAN100359,39,Other,Premium,Sheffield,2025-05-17,12:05:45,Card Problems,High,New card not received after 2 weeks,Online Chat,Closed,2025-05-29,12.0,0.0,3.0,True,Personal Loan,
CMP100084,SAN100183,48,Female,Premium,Glasgow,2025-02-07,22:46:02,Online Banking,High,Cannot download statements,Mobile App,Closed,2025-02-09,2.0,159.12,4.0,True,Business Current Account,
CMP100085,SAN100183,48,Female,Premium,Glasgow,2025-01-06,23:40:25,Payment Delays,Low,International transfer delayed,Mobile App,Resolved,2025-01-12,6.0,89.01,5.0,False,Credit Card,BR357
CMP100086,SAN100183,48,Female,Premium,Glasgow,2025-04-21,08:30:59,Account Access Issues,High,Password reset not working,Mobile App,Resolved,2025-06-08,48.0,0.0,4.0,False,1|2|3 Current Account,
CMP100087,SAN100183,48,Female,Premium,Glasgow,2024-09-09,22:09:50,Transaction Disputes,Medium,Unauthorized transaction on my account,Online Chat,Resolved,2024-09-13,4.0,0.0,3.0,False,Help to Buy ISA,BR825
CMP100088,SAN100183,48,Female,Premium,Glasgow,2025-01-23,19:36:21,Card Problems,Critical,Card blocked while travelling,Email,Closed,2025-02-06,14.0,0.0,3.0,True,eSaver,BR750
CMP100089,SAN100183,48,Female,Premium,Glasgow,2025-01-30,04:01:04,Fraud/Security,Low,Security breach concern,Online Chat,Closed,2025-02-04,5.0,0.0,1.0,False,eSaver,BR853
CMP100090,SAN100183,48,Female,Premium,Glasgow,2025-08-30,01:05:20,Account Access Issues,Low,Unable to log into online banking for 3 days,Social Media,Closed,2025-09-19,20.0,110.46,1.0,False,Everyday Current Account,BR339
CMP100091,SAN100446,61,Other,Standard Plus,Leeds,2025-03-10,01:23:42,Customer Service,Low,Promised callback never received,Email,Closed,2025-03-11,1.0,187.88,2.0,False,Everyday Saver,
CMP100092,SAN100446,61,Other,Standard Plus,Leeds,2025-04-09,04:08:18,Fraud/Security,High,Suspicious activity not flagged,Email,Closed,2025-05-28,0.0,0.0,4.0,True,Mortgage,
CMP100093,SAN100446,61,Other,Standard Plus,Leeds,2025-06-12,17:39:12,Online Banking,Medium,Website down during payment,Email,Resolved,2025-06-20,8.0,102.21,2.0,False,Select Current Account,BR950
CMP100094,SAN100446,61,Other,Standard Plus,Leeds,2025-02-01,04:32:59,Account Access Issues,Low,Account locked without explanation,Social Media,Resolved,2025-02-04,3.0,0.0,2.0,False,Help to Buy ISA,
CMP100095,SAN100446,61,Other,Standard Plus,Leeds,2025-01-04,13:22:38,Branch Service,Low,Appointment not honored,Online Chat,Closed,2025-01-05,1.0,0.0,3.0,False,Stocks & Shares ISA,
CMP100096,SAN100446,61,Other,Standard Plus,Leeds,2025-11-03,02:17:23,Payment Delays,High,Salary not credited on time,Phone,Resolved,2025-11-05,2.0,194.75,2.0,True,Select Current Account,
CMP100097,SAN100443,53,Male,Premium,Southampton,2025-11-24,22:44:25,Account Access Issues,Medium,Password reset not working,Social Media,In Progress,,,0.0,,False,Everyday Current Account,
CMP100098,SAN100443,53,Male,Premium,Southampton,2024-11-26,00:20:12,Customer Service,Low,Unhelpful staff at branch,Phone,Closed,2024-12-01,5.0,0.0,3.0,False,Business Current Account,BR687
CMP100099,SAN100443,53,Male,Premium,Southampton,2024-09-11,16:01:50,Payment Delays,Low,Standing order failed,Email,Resolved,2024-10-05,24.0,0.0,2.0,False,Help to Buy ISA,BR338
CMP100100,SAN100108,33,Female,Standard Plus,Birmingham,2025-10-16,02:54:48,Payment Delays,High,Standing order failed,Online Chat,Resolved,2025-10-23,7.0,18.91,4.0,True,Personal Loan,
CMP100101,SAN100108,33,Female,Standard Plus,Birmingham,2025-04-26,21:16:10,Transaction Disputes,Low,Incorrect amount debited,Phone,Closed,2025-04-30,4.0,0.0,1.0,False,Cash ISA,
CMP100102,SAN100108,33,Female,Standard Plus,Birmingham,2025-10-02,13:11:21,Mobile App Issues,Low,App shows incorrect balance,Mobile App,Resolved,2025-10-15,13.0,166.45,3.0,False,Business Current Account,BR445
CMP100103,SAN100108,33,Female,Standard Plus,Birmingham,2025-03-22,14:17:39,Online Banking,Low,Cannot download statements,Social Media,Resolved,2025-04-08,17.0,0.0,3.0,False,1|2|3 Current Account,BR202
CMP100104,SAN100108,33,Female,Standard Plus,Birmingham,2025-04-30,16:51:44,Mobile App Issues,High,App shows incorrect balance,Online Chat,Resolved,2025-05-02,2.0,0.0,5.0,False,Mortgage,
CMP100105,SAN100108,33,Female,Standard Plus,Birmingham,2025-02-10,02:08:29,Branch Service,High,Appointment not honored,Branch,Resolved,2025-02-12,2.0,110.06,3.0,True,Business Current Account,BR852
CMP100106,SAN100124,71,Other,Standard Plus,Manchester,2025-04-15,03:26:06,Mobile App Issues,Medium,Cannot make payments through app,Social Media,Closed,2025-04-16,1.0,0.0,1.0,False,Everyday Saver,
CMP100107,SAN100124,71,Other,Standard Plus,Manchester,2024-10-11,13:14:25,Fraud/Security,High,Phishing email received,Email,Closed,2024-10-29,18.0,138.99,5.0,False,1|2|3 Current Account,BR932
CMP100108,SAN100124,71,Other,Standard Plus,Manchester,2024-11-22,06:00:30,Mobile App Issues,Low,Fingerprint login not working,Mobile App,Closed,2024-12-07,0.0,0.0,3.0,False,Stocks & Shares ISA,
CMP100109,SAN100124,71,Other,Standard Plus,Manchester,2025-03-21,07:52:17,Fee Complaints,Low,ATM withdrawal fee dispute,Branch,Resolved,2025-03-30,9.0,150.46,4.0,False,Help to Buy ISA,BR673
CMP100110,SAN100124,71,Other,Standard Plus,Manchester,2024-08-14,08:51:05,Transaction Disputes,Medium,Refund not received after 30 days,Email,Resolved,2024-09-09,26.0,57.5,1.0,False,eSaver,BR200
CMP100111,SAN100124,71,Other,Standard Plus,Manchester,2024-12-05,01:36:50,Online Banking,High,Transfer limit too restrictive,Branch,Resolved,2024-12-27,22.0,143.55,5.0,False,eSaver,
CMP100112,SAN100124,71,Other,Standard Plus,Manchester,2025-02-17,02:38:10,Fraud/Security,Medium,Security breach concern,Branch,Closed,2025-03-01,12.0,35.18,2.0,False,Select Current Account,
CMP100113,SAN100479,53,Female,Premium,Birmingham,2025-02-10,15:59:15,Account Access Issues,Medium,Password reset not working,Branch,Closed,2025-03-10,28.0,197.78,1.0,False,Select Current Account,
CMP100114,SAN100479,53,Female,Premium,Birmingham,2025-01-24,16:21:08,Fraud/Security,High,Suspicious activity not flagged,Mobile App,Resolved,2025-01-27,3.0,0.0,3.0,True,Mortgage,
CMP100115,SAN100479,53,Female,Premium,Birmingham,2025-11-16,17:53:40,Payment Delays,Low,Direct debit not processed,Email,Resolved,2025-11-17,1.0,19.37,2.0,False,eSaver,BR718
CMP100116,SAN100479,53,Female,Premium,Birmingham,2025-09-01,20:40:47,Card Problems,Low,Card declined despite sufficient funds,Online Chat,Closed,2025-09-05,4.0,49.85,3.0,False,Personal Loan,
CMP100117,SAN100327,83,Other,Premium,Birmingham,2024-12-26,07:17:07,Payment Delays,High,Standing order failed,Mobile App,Closed,2024-12-27,1.0,0.0,2.0,False,Everyday Current Account,BR387
CMP100118,SAN100327,83,Other,Premium,Birmingham,2024-06-14,18:51:45,Branch Service,Medium,Branch closed without notice,Online Chat,Closed,2024-06-24,10.0,1202.67,1.0,False,Everyday Current Account,BR716
CMP100119,SAN100327,83,Other,Premium,Birmingham,2025-09-03,07:37:11,Transaction Disputes,Medium,Double charged for a purchase,Branch,Closed,2025-10-11,38.0,0.0,2.0,False,Credit Card,
CMP100120,SAN100327,83,Other,Premium,Birmingham,2025-10-13,13:54:51,Payment Delays,High,International transfer delayed,Branch,Closed,2025-10-14,1.0,0.0,2.0,True,eSaver,
CMP100121,SAN100327,83,Other,Premium,Birmingham,2024-12-20,09:02:13,Fraud/Security,Low,Suspicious activity not flagged,Branch,Closed,2024-12-21,1.0,156.04,1.0,False,Mortgage,BR320
CMP100122,SAN100327,83,Other,Premium,Birmingham,2025-07-12,10:46:48,Mobile App Issues,High,App crashes when checking balance,Phone,Resolved,2025-07-20,8.0,0.0,5.0,True,Credit Card,BR881
CMP100123,SAN100327,83,Other,Premium,Birmingham,2024-06-14,14:54:35,Loan/Mortgage Issues,Low,Payment not reflected on account,Branch,Closed,2024-07-22,38.0,0.0,2.0,False,1|2|3 Current Account,BR771
CMP100124,SAN100327,83,Other,Premium,Birmingham,2024-06-17,04:32:12,Mobile App Issues,Medium,Cannot make payments through app,Online Chat,Closed,2024-06-22,5.0,42.43,1.0,False,Stocks & Shares ISA,
CMP100125,SAN100324,41,Other,Premium,Liverpool,2024-07-10,19:06:40,Fraud/Security,Medium,Phishing email received,Online Chat,Resolved,2024-07-19,9.0,41.73,1.0,False,1|2|3 Current Account,
CMP100126,SAN100324,41,Other,Premium,Liverpool,2025-06-25,05:13:28,Branch Service,High,Long queues at branch,Mobile App,Resolved,2025-06-26,1.0,0.0,2.0,True,Everyday Saver,BR468
CMP100127,SAN100324,41,Other,Premium,Liverpool,2025-10-26,03:17:09,Online Banking,Medium,Website down during payment,Branch,Resolved,2025-10-28,2.0,93.72,2.0,False,Personal Loan,
CMP100128,SAN100324,41,Other,Premium,Liverpool,2024-08-08,11:10:43,Fraud/Security,Medium,Security breach concern,Phone,Resolved,2024-10-07,60.0,117.44,4.0,False,Cash ISA,
CMP100129,SAN100259,46,Other,Premium,London,2025-01-28,12:06:51,Card Problems,Low,Card declined despite sufficient funds,Email,Resolved,2025-03-15,46.0,19.18,4.0,False,Stocks & Shares ISA,
CMP100130,SAN100259,46,Other,Premium,London,2025-10-02,12:32:41,Fee Complaints,Low,ATM withdrawal fee dispute,Email,Resolved,2025-10-03,1.0,0.0,3.0,False,Stocks & Shares ISA,
CMP100131,SAN100259,46,Other,Premium,London,2025-08-02,14:46:50,Loan/Mortgage Issues,High,Early repayment fee dispute,Mobile App,Resolved,2025-09-13,42.0,13.68,3.0,False,Stocks & Shares ISA,BR342
CMP100132,SAN100483,34,Female,Premium,Stoke-on-Trent,2024-11-28,15:22:24,Payment Delays,High,Salary not credited on time,Social Media,Closed,2024-12-12,14.0,95.7,5.0,False,Help to Buy ISA,BR986
CMP100133,SAN100483,34,Female,Premium,Stoke-on-Trent,2025-03-30,01:48:40,Account Access Issues,High,Unable to log into online banking for 3 days,Email,Closed,2025-04-27,28.0,0.0,5.0,True,Personal Loan,
CMP100134,SAN100483,34,Female,Premium,Stoke-on-Trent,2024-09-12,07:55:40,Fraud/Security,Critical,Security breach concern,Phone,Closed,2024-09-20,8.0,0.0,1.0,False,Credit Card,BR132
